Prerequisites,Course Name,Credits,Concurrent Enrollment
,AEP 0100,4,False
,AEP 0120,4,False
,AEP 0130,4,False
,AEP 0200,4,False
,AEP 0220,4,False
,AEP 0230,4,False
,AEP 0250,1,False
,AEP 0300,4,False
,AEP 0310,3,False
,AEP 0320,3,False
,AEP 0330,4,False
,AEP 0350,1,False
,AEP 0400,4,False
,AEP 0410,3,False
,AEP 0411,3,False
,AEP 0420,3,False
,AEP 0430,4,False
,AEP 0450,1,False
,AEP 0500,4,False
,AEP 0510,3,False
,AEP 0520,3,False
,AEP 0530,4,False
,AEP 0930,4,False
,AEP 1410,3,False
BIZ 1000;BIZ 1001,ACCT 2200,3,False
ACCT 2200;BIZ 1002,ACCT 2220,3,False
,ACCT 2930,3,False
,ACCT 2980,3,False
ACCT 2200;BIZ 1002,ACCT 3060,3,False
ACCT 2200,ACCT 3110,3,False
ACCT 2200,ACCT 3160,3,False
ACCT 2220;BTM 2500,ACCT 3220,3,False
,ACCT 3930,3,False
,ACCT 3980,3,False
ACCT 3110,ACCT 4110,3,False
ACCT 4110,ACCT 4200,3,False
ACCT 3110;BTM 2000,ACCT 4250,3,False
ACCT 3110,ACCT 4300,3,False
ACCT 4110;ACCT 4250,ACCT 4400,3,True
ACCT 3110;BTM 2500;BIZ 3000,ACCT 4910,3,False
,ACCT 4930,3,False
,ACCT 4980,3,False
,AENG 1001,1,False
,AENG 1002,1,False
AENG 1002;MENG 1002;PHYS 1610,AENG 2000,3,True
,AENG 2020,1,False
CORE 1000;CORE 1500,AENG 2910,3,True
,AENG 2930,3,False
,AENG 2980,3,False
AENG 2000;AENG 2020,AENG 3000,3,False
AENG 3150,AENG 3050,3,True
CSCI 1060,AENG 3100,3,False
AENG 2000;AENG 2020,AENG 3150,3,False
MENG 3200;MENG 2310;MATH 3270,AENG 3230,3,True
AENG 3230;MATH 3270,AENG 3240,3,True
MENG 3110,AENG 3410,3,False
AENG 2910,AENG 3910,3,False
CORE 1000;CORE 1500,AENG 3915,3,True
,AENG 3930,3,False
,AENG 3980,3,False
AENG 3000;AENG 4400,AENG 4004,3,True
AENG 4004,AENG 4014,3,False
,AENG 4050,3,False
AENG 3100,AENG 4110,3,True
AENG 3000;AENG 4110,AENG 4111,1,True
,AENG 4140,3,False
AENG 3150,AENG 4150,3,False
AENG 3230,AENG 4210,3,False
,AENG 4230,3,False
AENG 3000;AENG 3410,AENG 4400,3,True
AENG 4400,AENG 4410,3,False
AENG 4110,AENG 4700,3,False
,AENG 4800,3,False
AENG 3910,AENG 4910,0,False
CORE 1000;CORE 1500,AENG 4915,3,True
,AENG 4930,3,False
,AENG 4980,3,False
,AES 1010,2,False
,AES 1020,2,False
,AES 2010,2,False
,AES 2020,2,False
,AES 2220,0,False
,AES 2980,3,False
AES 1010;AES 2010,AES 3010,3,False
,AES 3020,3,False
,AES 3930,3,False
,AES 3980,3,False
,AES 4010,3,False
,AES 4020,3,False
,AES 4930,3,False
,AES 4980,3,False
,AAM 2000,3,False
,AAM 2010,3,False
,AAM 2120,3,False
,AAM 2220,3,False
,AAM 2520,3,False
,AAM 2570,3,False
,AAM 2800,3,False
,AAM 2900,3,False
,AAM 2930,3,False
,AAM 2980,3,False
,AAM 3200,3,False
,AAM 3240,3,False
,AAM 3250,3,False
,AAM 3270,3,False
,AAM 3300X,3,False
,AAM 3350,3,False
,AAM 3360,3,False
,AAM 3510,3,False
,AAM 3610,3,False
,AAM 3730,3,False
CORE 1000;CORE 1500,AAM 3910,6,True
CORE 1000;CORE 1500,AAM 3913,6,True
,AAM 3930,3,False
,AAM 3980,3,False
,AAM 4000,3,False
,AAM 4200,3,False
,AAM 4330,3,False
PSY 1010,AAM 4340,3,False
,AAM 4380,3,False
,AAM 4800,3,False
,AAM 4810,3,False
,AAM 4890,3,False
CORE 1000;CORE 1500,AAM 4910,6,True
,AAM 4930,3,False
,AAM 4960,3,False
,AAM 4970,3,False
,AAM 4980,3,False
,ASTD 1000,3,False
,ASTD 1930,4,False
,ASTD 1980,3,False
,ASTD 2100,3,False
,ASTD 2200,3,False
,ASTD 2300,3,False
,ASTD 2400,3,False
,ASTD 2500,9,False
,ASTD 2600,9,False
,ASTD 2650,3,False
,ASTD 2700,3,False
,ASTD 2800,3,False
,ASTD 2880,3,False
,ASTD 2930,3,False
,ASTD 2980,3,False
,ASTD 3000,3,False
,ASTD 3020,3,False
