Course Title,Credits,Prerequisites,Concurrent Enrollment,Major
AEP 0100 - Writing and Grammar Level 1: Beginner,Credit(s): 4 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0120 - Reading and Vocabulary Level 1: Beginner,Credit(s): 4 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0130 - Listening and Speaking Level 1: Beginner,Credit(s): 4 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0200 - Writing and Grammar Level 2: High Beginner,Credit(s): 4 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0220 - Reading and Vocabulary Level 2: High Beginner,Credit(s): 4 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0230 - Listening and Speaking Level 2: High Beginner,Credit(s): 4 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0250 - English through Service Level 2: High Beginner,Credit(s): 1 Credit,NaN,NaN,Academic English Program (AEP)
AEP 0300 - Writing and Grammar Level 3: Intermediate,Credit(s): 4 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0310 - Exploring Cultures Level 3: Intermediate,Credit(s): 3 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0310X - Exploring Cultures: Intermediate,Credit(s): 1.5 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0320 - Reading and Vocabulary Level 3: Intermediate,Credit(s): 3 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0320X - Reading: Intermediate,Credit(s): 1.5 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0330 - Listening and Speaking Level 3: Intermediate,Credit(s): 4 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0330X - Listening and Speaking: Intermediate,Credit(s): 1.5 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0350 - English through Service Level 3: Intermediate,Credit(s): 1 Credit,NaN,NaN,Academic English Program (AEP)
AEP 0400 - Writing and Grammar Level 4: High Intermediate,Credit(s): 4 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0400X - Writing and Grammar Level 4: High Intermediate,Credit(s): 1.5 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0410 - Contemporary Issues Level 4: High Intermediate,Credit(s): 3 Credits,NaN,NaN,Academic English Program (AEP)
"AEP 0410X - People, Places, Connections: An Introduction to Human Geography",Credit(s): 3 Credits,NaN,NaN,Academic English Program (AEP)
"AEP 0411 - People, Places, Connections: An Introduction to Human Geography",Credit(s): 3 Credits,NaN,NaN,Academic English Program (AEP)
"AEP 0411X - People, Places, Connections: An Introduction to Human Geography",Credit(s): 1.5 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0420 - Reading and Vocabulary Level 4: High Intermediate,Credit(s): 3 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0420X - Reading: High Intermediate,Credit(s): 1.5 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0430 - Listening & Speaking Level 4: High Intermediate,Credit(s): 4 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0430X - Listening & Speaking Level 4: High Intermediate,Credit(s): 1.5 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0450 - English through Service Level 4: High Intermediate,Credit(s): 1 Credit,NaN,NaN,Academic English Program (AEP)
AEP 0500 - Writing and Grammar Level 5: Low Advanced,Credit(s): 4 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0510 - Intercultural Communication Level 5: Low Advanced,Credit(s): 3 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0520 - Reading and Vocabulary Level 5: Low Advanced,Credit(s): 3 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0530 - Listening and Speaking Level 5: Low Advanced,Credit(s): 4 Credits,NaN,NaN,Academic English Program (AEP)
AEP 0930 - Special Topics,Credit(s): 1-4 Credits (Repeatable up to 4 credits),NaN,NaN,Academic English Program (AEP)
"AEP 1410 - People, Places, Connections: An Introduction to Human Geography",Credit(s): 3 Credits,NaN,NaN,Academic English Program (AEP)
ACCT 2200 - Financial Accounting,Credit(s): 3 Credits,"BIZ 1000, BIZ 1001",NaN,Accounting (ACCT)
ACCT 2220 - Accounting for Decision Making,Credit(s): 3 Credits,"ACCT 2200, BIZ 1002",NaN,Accounting (ACCT)
ACCT 2930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Accounting (ACCT)
