Prerequisites,Concurrent Enrollment,Major,Course Name,Course Details,Credits,Repeatable
,False,Academic English Program (AEP),AEP 0100,Writing and Grammar Level 1: Beginner,4,False
,False,Academic English Program (AEP),AEP 0120,Reading and Vocabulary Level 1: Beginner,4,False
,False,Academic English Program (AEP),AEP 0130,Listening and Speaking Level 1: Beginner,4,False
,False,Academic English Program (AEP),AEP 0200,Writing and Grammar Level 2: High Beginner,4,False
,False,Academic English Program (AEP),AEP 0220,Reading and Vocabulary Level 2: High Beginner,4,False
,False,Academic English Program (AEP),AEP 0230,Listening and Speaking Level 2: High Beginner,4,False
,False,Academic English Program (AEP),AEP 0250,English through Service Level 2: High Beginner,1,False
,False,Academic English Program (AEP),AEP 0300,Writing and Grammar Level 3: Intermediate,4,False
,False,Academic English Program (AEP),AEP 0310,Exploring Cultures Level 3: Intermediate,3,False
,False,Academic English Program (AEP),AEP 0320,Reading and Vocabulary Level 3: Intermediate,3,False
,False,Academic English Program (AEP),AEP 0330,Listening and Speaking Level 3: Intermediate,4,False
,False,Academic English Program (AEP),AEP 0350,English through Service Level 3: Intermediate,1,False
,False,Academic English Program (AEP),AEP 0400,Writing and Grammar Level 4: High Intermediate,4,False
,False,Academic English Program (AEP),AEP 0410,Contemporary Issues Level 4: High Intermediate,3,False
,False,Academic English Program (AEP),AEP 0411,"People, Places, Connections: An Introduction to Human Geography",3,False
,False,Academic English Program (AEP),AEP 0420,Reading and Vocabulary Level 4: High Intermediate,3,False
,False,Academic English Program (AEP),AEP 0430,Listening & Speaking Level 4: High Intermediate,4,False
,False,Academic English Program (AEP),AEP 0450,English through Service Level 4: High Intermediate,1,False
,False,Academic English Program (AEP),AEP 0500,Writing and Grammar Level 5: Low Advanced,4,False
,False,Academic English Program (AEP),AEP 0510,Intercultural Communication Level 5: Low Advanced,3,False
,False,Academic English Program (AEP),AEP 0520,Reading and Vocabulary Level 5: Low Advanced,3,False
,False,Academic English Program (AEP),AEP 0530,Listening and Speaking Level 5: Low Advanced,4,False
,False,Academic English Program (AEP),AEP 0930,Special Topics,4,False
,False,Academic English Program (AEP),AEP 1410,"People, Places, Connections: An Introduction to Human Geography",3,False
"BIZ 1000, BIZ 1001",False,Accounting (ACCT),ACCT 2200,Financial Accounting,3,False
"ACCT 2200, BIZ 1002",False,Accounting (ACCT),ACCT 2220,Accounting for Decision Making,3,False
,False,Accounting (ACCT),ACCT 2930,Special Topics,3,True
,False,Accounting (ACCT),ACCT 2980,Independent Study,3,True
"ACCT 2200, BIZ 1002",False,Accounting (ACCT),ACCT 3060,Accounting and Business Consulting,3,False
ACCT 2200,False,Accounting (ACCT),ACCT 3110,Financial Reporting I,3,False
ACCT 2200,False,Accounting (ACCT),ACCT 3160,International Accounting for Global Organizations,3,False
"ACCT 2220, BTM 2500",False,Accounting (ACCT),ACCT 3220,Cost Management,3,False
,False,Accounting (ACCT),ACCT 3930,Special Topics,3,True
,False,Accounting (ACCT),ACCT 3980,Independent Study,3,True
ACCT 3110,False,Accounting (ACCT),ACCT 4110,Financial Reporting II,3,False
ACCT 4110,False,Accounting (ACCT),ACCT 4200,Accounting Data Analytics,3,False
"ACCT 3110, BTM 2000",False,Accounting (ACCT),ACCT 4250,Accounting Information Systems,3,False
ACCT 3110,False,Accounting (ACCT),ACCT 4300,Federal Income Tax I,3,False
"ACCT 4110, ACCT 4250",True,Accounting (ACCT),ACCT 4400,Auditing,3,False
"ACCT 3110, BTM 2500, BIZ 3000",False,Accounting (ACCT),ACCT 4910,Accounting Internship,3,True
