Course Title,Credits,Prerequisites,Concurrent Enrollment
CSCI 1010 - Introduction to Computer Science: Principles,Credit(s): 3 Credits,NaN,NaN
CSCI 1020 - Introduction to Computer Science: Bioinformatics,Credit(s): 3 Credits,NaN,NaN
CSCI 1025 - Introduction to Computer Science: Cybersecurity,Credit(s): 3 Credits,NaN,NaN
CSCI 1030 - Introduction to Computer Science: Game Design,Credit(s): 3 Credits,NaN,NaN
CSCI 1040 - Introduction to Computer Science: Mobile Computing,Credit(s): 3 Credits,NaN,NaN
CSCI 1050 - Introduction to Computer Science: Multimedia,Credit(s): 3 Credits,NaN,NaN
CSCI 1060 - Introduction to Computer Science: Scientific Programming,Credit(s): 3 Credits,"MATH 1510, MATH 1320, MATH 1520, MATH 2530",Concurrent enrollment allowed.
CSCI 1070 - Introduction to Computer Science: Taming Big Data,Credit(s): 3 Credits,NaN,NaN
CSCI 1080 - Introduction to Computer Science: World Wide Web,Credit(s): 3 Credits,NaN,NaN
CSCI 1090 - Introduction to Computer Science: Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN
CSCI 1300 - Introduction to Object-Oriented Programming,Credit(s): 4 Credits,"CSCI 1010, BME 2000, CVNG 1500, MATH 3850, STAT 3850, ECE 1001, GIS 4090, MATH 1200, MATH 1320",NaN
CSCI 1930 - Special Topics,Credit(s): 1-4 Credits (Repeatable for credit),NaN,NaN
CSCI 1980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN
CSCI 2050 - Computer Ethics,Credit(s): 3 Credits,PHIL 2050,NaN
CSCI 2100 - Data Structures,Credit(s): 4 Credits,"CSCI 1300, MATH 1660",Concurrent enrollment allowed.
CSCI 2190 - Computational Problem Solving,Credit(s): 1 Credit,CSCI 2100,NaN
CSCI 2300 - Object-Oriented Software Design,Credit(s): 3 Credits,CSCI 2100,NaN
CSCI 2500 - Computer Organization and Systems,Credit(s): 3 Credits,CSCI 2100,Concurrent enrollment allowed.
CSCI 2510 - Principles of Computing Systems,Credit(s): 3 Credits,"CSCI 2500, ECE 2205, ECE 3217, ECE 3225",NaN
CSCI 2930 - Special Topics,Credit(s): 1-4 Credits (Repeatable for credit),NaN,NaN
CSCI 2980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN
